CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35095,CH,0033,01,Chemistry of Nutrition,3 TF,0330-0445pm,Harper J,
34127,CH,0084,01,Gen Chem for Health Sciences,3 TF,0930-1045am,Reilly-Wiedow E,
35760,CH,0084,02,Gen Chem for Health Sciences,3 TF,0200-0315pm,Reilly-Wiedow E,
34368,CH,0084L,01,Gen Chem for Health Sci Lab,1 M,0900-1150am,O'Connell E,
34369,CH,0084L,02,Gen Chem for Health Sci Lab,1 T,0900-1150am,Wolanin D,
34633,CH,0084L,03,Gen Chem for Health Sci Lab,1 W,0900-1150am,Reilly-Wiedow E,
34729,CH,0084L,04,Gen Chem for Health Sci Lab,1 R,0900-1150am,O'Connell E,
35215,CH,0084L,05,Gen Chem for Health Sci Lab,1 R,0100-0350pm,Reilly-Wiedow E,
34319,CH,0086,01,Chemistry and Art,3 TR,0500-0615pm,Sobczynski D,
35216,CH,0087,01,Molecules of Life,3 TF,0200-0315pm,Harper J,
34561,CH,0112,01,General Chemistry II,3 MR,1100-1215pm,Fischer R,
"",,,,,W,1000-1050am,,
34562,CH,0112,02,General Chemistry II,3 MR,0930-1045am,Miecznikowski J,
"",,,,,W,0900-0950am,,
34563,CH,0112,03,General Chemistry II,3 TF,1100-1215pm,Kubasik M,
"",,,,,W,1100-1150am,,
34801,CH,0112,04,General Chemistry II,3 MR,1230-0145pm,Smith-Carpenter J,
"",,,,,W,1200-1250pm,,
34564,CH,0112L,01,General Chemistry II Lab,1 M,1230-0320pm,Fischer R,
34565,CH,0112L,02,General Chemistry II Lab,1 M,0500-0750pm,STAFF,
34566,CH,0112L,03,General Chemistry II Lab,1 T,1230-0320pm,STAFF,
34567,CH,0112L,04,General Chemistry II Lab,1 T,0500-0750pm,Fischer S,
34568,CH,0112L,05,General Chemistry II Lab,1 W,0100-0350pm,Miecznikowski J,
34962,CH,0112L,06,General Chemistry II Lab,1 W,0500-0750pm,Fischer S,
35217,CH,0112L,07,General Chemistry II Lab,1 R,1230-0320pm,STAFF,
35761,CH,0112L,08,General Chemistry II Lab,1 F,1230-0320pm,Chintapalli S,
35762,CH,0112L,09,General Chemistry II Lab,1,R,0500-0750pm,STAFF,
34046,CH,0212,01,Organic Chemistry II,3,MR,0800-0915am,Steffen L,
"",,,,,,W,0800-0850am,,
34047,CH,0212,02,Organic Chemistry II,3,TF,0930-1045am,O'Connell E,
"",,,,,,W,0900-0950am,,
35218,CH,0212,03,Organic Chemistry II,3,MR,0930-1045am,Van Dyke A,RCOL
"",,,,,,W,0900-0950am,,
34370,CH,0212L,01,Organic Chemistry II Lab,1,M,0100-0450pm,Van Dyke A,
34371,CH,0212L,02,Organic Chemistry II Lab,1,M,0500-0850pm,Van Dyke A,
34372,CH,0212L,03,Organic Chemistry II Lab,1,T,1230-0430pm,Schirmann P,
34373,CH,0212L,04,Organic Chemistry II Lab,1,W,0100-0450pm,Steffen L,
35219,CH,0212L,05,Organic Chemistry II Lab,1,R,0500-0850pm,Schirmann P,
34048,CH,0222,01,Chemical Analysis,3,MR,1100-1215pm,Harper-Leatherman A,
34632,CH,0222L,01,Chemical Analysis Lab,1,W,0100-0450pm,Harper-Leatherman A,
35964,CH,0222L,02,Chemical Analysis Lab,1,T,1230-0420pm,Harper-Leatherman A,
34251,CH,0262,01,Physical Chemistry II,3,TWF,1100-1150am,Weddle G,
34374,CH,0262L,01,Physical Chemistry II Lab,1,T,1230-0330pm,Weddle G,
34222,CH,0324,01,Biochemistry I,3,MR,0930-1045am,Smith-Carpenter J,
34375,CH,0324L,01,Biochemistry Lab,1,W,0200-0450pm,Smith-Carpenter J,
34963,CH,0326L,01,Instrum-Analy Chemical Lab,3,MR,0200-0450pm,Kubasik M,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34258,CI,0111,01,Elementary Chinese II,3 MWR,0200-0250pm,Xiao J,
