CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35203,RS,0101C,03,ER:CommonQuestionsTradResponse,3 MR,0800-0915am,Cosacchi D,
35204,RS,0101C,04,ER:CommonQuestionsTradResponse,3 MR,1100-1215pm,Cosacchi D,
34547,RS,0101D,01,ER:Religion in Comparative Key,3 MR,0930-1020am,Thiel J,
"",,,,,W,0900-0950am,,
34548,RS,0101D,02,ER:Religion in Comparative Key,3 MR,1230-0120pm,Thiel J,
"",,,,,W,1200-1250pm,,
34549,RS,0101D,03,ER:Religion in Comparative Key,3 MWR,0200-0250pm,Thiel J,
34550,RS,0101D,04,ER:Religion in Comparative Key,3 TWF,0800-0850am,Hannafey F,
34551,RS,0101D,05,ER:Religion in Comparative Key,3 TF,0930-1020am,Hannafey F,
"",,,,,W,0900-0950am,,
34745,RS,0101D,06,ER:Religion in Comparative Key,3 MW,0500-0615pm,Ranstrom E,
35205,RS,0101D,07,ER:Religion in Comparative Key,3 MW,0630-0745pm,Ranstrom E,
34746,RS,0101E,01,"ER: Peo of the Book,SacredTxts",3 TF,1100-1215pm,Gaines J,
34747,RS,0101E,02,"ER: Peo of the Book,SacredTxts",3 TF,0200-0315pm,Gaines J,
35826,RS,0101E,03,"ER: Peo of the Book,SacredTxts",3 TF,0330-0445pm,Gaines J,
35827,RS,0101E,04,"ER: Peo of the Book,SacredTxts",3 MW,0500-0615pm,Glassman M,
35828,RS,0101E,05,"ER: Peo of the Book,SacredTxts",3 MW,0630-0745pm,Glassman M,
35076,RS,0101E,OL1,"ER: Peo of the Book,SacredTxts",3,Online,Sabella J,
34552,RS,0209,01,Jewish Interpret of Scripture,3 MR,0330-0445pm,Prosnit J,
35303,RS,0218,01,Faith After the Holocaust,3 TF,0930-1045am,Umansky E,
35829,RS,0230,01,Introduction to Catholicism,3,TF,0930-1045am,Thiel J,
35830,RS,0235,01,Liberation Theology,3,TF,1100-1215pm,Lakeland P,SERL UDIV
35831,RS,0235,02,Liberation Theology,3,MR,1230-0145pm,Molloy K,SERL UDIV
35832,RS,0236,01,Christian Feminist Theology,3,TF,1230-0145pm,Dallavalle N,IGRC UDIV
35030,RS,0240,OL1,The Medieval Church,3,,Online,Jones D,
34248,RS,0244,01,Finding God in All Things,3,MR,0330-0445pm,DeFeo J,
35209,RS,0245,01,The Reformation Era,3,T,0500-0730pm,Spollett D,
35211,RS,0248,01,Catholic Intellectual Tradtn,3,TF,1230-0145pm,Lakeland P,
34748,RS,0252,01,Contemporary Moral Problems,3,TF,0200-0315pm,Hannafey F,
35213,RS,0252,02,Contemporary Moral Problems,3,MW,0500-0615pm,McGinley D,
34981,RS,0252,OL1,Contemporary Moral Problems,3,,Online,Cintron C,
35833,RS,0255,01,Catholic Social Teaching,3,W,0800-1030am,Cosacchi D,SJRC
34634,RS,0257,01,Christian Spirituality,3,MR,1100-1215pm,Sauers E,
35834,RS,0260,01,Religion in the United States,3,TWF,1100-1150am,Ciollo L,
35835,RS,0263,01,New Religious Mvments in Amer,3,TF,1230-0145pm,Ciollo L,
35836,RS,0263,02,New Religious Mvments in Amer,3,TF,0200-0315pm,Ciollo L,
35837,RS,0315,01,Modern Jewish Theology,3,W,1100-0130pm,Umansky E,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34269,RU,0111,01,Elementary Russian II,3 MR,0930-1020am,Syssoeva E,
"",,,,,W,0900-0950am,,
34270,RU,0211,01,Intermediate Russian II,3 MR,1100-1150am,Syssoeva E,
"",,,,,W,1000-1050am,,
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
35852,RES,0310,01,Capstone Sem: Current Topics,3 By Arrangement,,McFadden D,
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
34044,SO,0011,01,Introduction to Sociology,3 TF 0930-1045am,,Quartey B,
34139,SO,0011,02,Introduction to Sociology,3 TF 1100-1215pm,,Quartey B,
34381,SO,0011,03,Introduction to Sociology,3 T 0800-0915pm,,Mielants E,HYBD
34859,SO,0011,04,Introduction to Sociology,3 W 1100-0130pm,,Rodrigues R,
35689,SO,0151,01,Sociology of Religion,3 W 1100-0130pm,,Wilson J,UDIV
34156,SO,0162,01,"Race,Gender & Ethnic Relations",3 TF 0200-0315pm,,Delfino P,UDIV
34614,SO,0162,02,"Race,Gender & Ethnic Relations",3 TF 0330-0445pm,,Delfino P,UDIV
35159,SO,0169,01,Women: Work and Sport,3 MR 0200-0315pm,,Rodrigues R,UDIV
34615,SO,0171,01,Criminology,3 MR 1100-1215pm,,Rodrigues R,
34217,SO,0175,01,Sociology of Law,3 MR 0930-1045am,,Rodrigues R,
35690,SO,0193,01,History of Social Welfare,3 W 1100-0130pm,,Oliver K,
35691,SO,0221,01,Social & Political Data Analys,4 M 0630-0900pm,,STAFF,
34958,SO,0229,01,Contemporary Social Theory,3 T 0500-0730pm,,Mielants E,
34045,SO,0398,01,Field Work Placement,3 By Arrangement,,Rodrigues R,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35034,SP,0110,01,Elementary Spanish I,3 TWF,0800-0850am,Gizzi S,
34822,SP,0111,01,Elementary Spanish II,3 MR,1100-1150am,STAFF,
"",,,,,W,1000-1050am,,
34823,SP,0111,02,Elementary Spanish II,3 MR,1100-1150am,Gaskill L,
"",,,,,W,1000-1050am,,
34824,SP,0111,03,Elementary Spanish II,3 MR,1230-0120pm,Gaskill L,
"",,,,,W,1200-1250pm,,
34825,SP,0111,04,Elementary Spanish II,3 MWR,0400-0450pm,Martinez-Meraz A,
34826,SP,0111,05,Elementary Spanish II,3,MWR,0500-0550pm,Martinez-Meraz A,
34827,SP,0111,06,Elementary Spanish II,3,MWR,0500-0550pm,DeLuca A,
34845,SP,0111,07,Elementary Spanish II,3,MWR,0500-0550pm,McNulty V,
34846,SP,0111,08,Elementary Spanish II,3,MWR,0630-0720pm,McNulty V,
34852,SP,0111,09,Elementary Spanish II,3,TWF,0800-0850am,Morabito P,
35771,SP,0111,10,Elementary Spanish II,3,TF,0930-1020am,Morabito P,
"",,,,,,W,0900-0950am,,
35035,SP,0210,01,Intermediate Spanish I,3,MWR,0800-0850am,Arce M,
35036,SP,0210,02,Intermediate Spanish I,3,MR,0930-1020am,Arce M,
"",,,,,,W,0900-0950am,,
35037,SP,0210,03,Intermediate Spanish I,3,MWR,0400-0450pm,Funez L,
35038,SP,0210,04,Intermediate Spanish I,3,TF,0930-1020am,Hernandez I,
"",,,,,,W,0900-0950am,,
35039,SP,0210,05,Intermediate Spanish I,3,TWF,1100-1150am,Hernandez I,
35040,SP,0210,06,Intermediate Spanish I,3,TWF,1100-1150am,Arango-Martin M,
35041,SP,0210,07,Intermediate Spanish I,3,TF,1230-0120pm,Hernandez I,
"",,,,,,W,0100-0150pm,,
35042,SP,0210,08,Intermediate Spanish I,3,TF,1230-0120pm,Adrada Rafael S,
"",,,,,,W,0100-0150pm,,
35261,SP,0210,09,Intermediate Spanish I,3,TF,0200-0250pm,Adrada Rafael S,
"",,,,,,W,0300-0350pm,,
34714,SP,0211,01,Intermediate Spanish II,3,MR,0930-1020am,Sarria M,
"",,,,,,W,0900-0950am,,
34828,SP,0211,02,Intermediate Spanish II,3,MR,1100-1150am,Sarria M,
"",,,,,,W,1000-1050am,,
34829,SP,0211,03,Intermediate Spanish II,3,MR,1230-0120pm,Pavon G,
"",,,,,,W,1200-1250pm,,
34830,SP,0211,04,Intermediate Spanish II,3,MWR,0200-0250pm,Pavon G,
34831,SP,0211,05,Intermediate Spanish II,3,MWR,0200-0250pm,Gaskill L,
34847,SP,0211,06,Intermediate Spanish II,3,MWR,0400-0450pm,Gaskill L,
34848,SP,0211,07,Intermediate Spanish II,3,MWR,0500-0550pm,Brea X,
34849,SP,0211,08,Intermediate Spanish II,3,MWR,0630-0720pm,Brea X,
34853,SP,0211,09,Intermediate Spanish II,3,TF,1230-0120pm,Arango-Martin M,
"",,,,,,W,0100-0150pm,,
34861,SP,0220,01,Topics in Language and Culture,3,TF,0200-0315pm,Hernandez I,
34176,SP,0245,01,Analys&Interp of Hispanic Lit,3,TF,1100-1215pm,Johnson J,
35262,SP,0245,02,Analys&Interp of Hispanic Lit,3,TF,1230-0145pm,Johnson J,
35772,SP,0251,01,Spanish Civilization & Culture,3,TF,0200-0315pm,Arango-Martin M,
35773,SP,0271,01,Hispanic Film,3,MR,0200-0315pm,Farrell M,WDIV
35774,SP,0359,01,"Cult,Civ,Lit/SpanAmCaribRegion",3,MR,1230-0145pm,Farrell M,WDIV
34244,SP,0381,01,Coordinating Seminar I,3,T,0500-0730pm,Johnson J,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34119,SA,0012,01,Introduction to Drawing,3 R,0930-1200pm,Ford K,
35704,SA,0014,01,Introduction to Printmaking,3 T,0200-0430pm,Yarrington K,
35378,SA,0016,01,Introduction to 2-D Design,3 M,0930-1200pm,Gorchov R,
35705,SA,0100,01,Experiments in Drawing,3 M,0200-0430pm,Mendelsohn J,
35706,SA,0100,02,Experiments in Drawing,3 W,1100-0130pm,Yarrington K,
35707,SA,0132,01,Sculpture: Const and Subtract,3 M,0930-1200pm,Donovan M,
35380,SA,0133,01,Alt Processes Photography,3 F,1100-0130pm,Post J,
34249,SA,0134,01,Digital Photography,3 W,0930-1200pm,Edwards C,
35708,SA,0137,01,Motion and Time-Based Art,3 W,0200-0430pm,Yarrington K,
34836,SA,0139,01,Watercolor,3 T,1100-0130pm,Chamlin-Richer S,
34837,SA,0139,02,Watercolor,3 T,0200-0430pm,Chamlin-Richer S,CLRC
35381,SA,0299,01,Advanced Projects Seminar,3 R,1100-0130pm,Chamlin-Richer S,
34097,SA,0301,01,Exhibition Seminar,3 R,1100-0130pm,Chamlin-Richer S,
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
34109,TA,0011,01,Introduction to Theatre,3 TF 1100-1215pm,,Learson J,
34556,TA,0030,01,Acting I,3 TF 0200-0315pm,,Mason J,
34832,TA,0094,01,TF Performance Practicum,1 By Arrangement,,Schwans T,
35709,TA,0094,02,TF Performance Practicum,1 By Arrangement,,STAFF,
35710,TA,0094,03,TF Performance Practicum,1 By Arrangement,,LoMonaco M,
34833,TA,0095,01,TF Production Practicum,1 By Arrangement,,Porter L,
35125,TA,0095,02,TF Production Practicum,1 By Arrangement,,Porter L,
35711,TA,0095,03,TF Production Practicum,1 By Arrangement,,Porter L,
35712,TA,0120,01,American Drama,3 MWR 0200-0250pm,,LoMonaco M,UDIV
34839,TA,0150,01,Intro to Entertainment Tech,3 MR 0930-1045am,,Kendall A,
35713,TA,0288,01,Scene Design,3 TF 1230-0145pm,,Porter L,
35111,TA,0395,01,Stage Management Internship,3 By Arrangement,,Porter L,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34170,WS,0301,01,WGSS Capstone Seminar,3 W,0200-0430pm,Lawrence A,
35931,WS,0301,02,WGSS Capstone Seminar,3 R,0500-0730pm,Orlando E,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34390,AC,0011,01,Intro to Financial Accounting,3 MR,1230-0145pm,Ebrahim A,
34815,AC,0011,02,Intro to Financial Accounting,3 MR,0930-1045am,Ebrahim A,
34085,AC,0012,01,Intro to Management Accounting,3 MR,1100-1215pm,Bloch R,
34164,AC,0012,02,Intro to Management Accounting,3 MR,1230-0145pm,Bloch R,
34180,AC,0012,03,Intro to Management Accounting,3 TF,0800-0915am,Burke G,
34181,AC,0012,04,Intro to Management Accounting,3 TF,0930-1045am,Burke G,
34182,AC,0012,05,Intro to Management Accounting,3 TF,0200-0315pm,Burke G,
34183,AC,0012,06,Intro to Management Accounting,3 TF,0330-0445pm,Burke G,
34271,AC,0012,07,Intro to Management Accounting,3 MR,0930-1045am,Caster P,
34391,AC,0012,08,Intro to Management Accounting,3 MR,1100-1215pm,Caster P,
34392,AC,0012,09,Intro to Management Accounting,3 TF,1100-1215pm,Drusbosky J,
34569,AC,0012,10,Intro to Management Accounting,3 TF,1230-0145pm,Drusbosky J,
34616,AC,0012,11,Intro to Management Accounting,3 MR,0930-1045am,Kardos A,
34617,AC,0012,12,Intro to Management Accounting,3 MR,1230-0145pm,Kardos A,
34618,AC,0012,13,Intro to Management Accounting,3 MR,0200-0315pm,Lee J,
34768,AC,0012,14,Intro to Management Accounting,3 MR,0330-0445pm,Lee J,
35226,AC,0012,15,Intro to Management Accounting,3 TR,0500-0615pm,STAFF,
34137,AC,0203,01,Intermediate Accounting I,3 R,0630-0900pm,Bloch R,
34033,AC,0204,01,Intermediate Accounting II,3 TF,0930-1045am,Peck M,
34067,AC,0204,02,Intermediate Accounting II,3 TF,1100-1215pm,Peck M,
34272,AC,0204,03,Intermediate Accounting II,3 TF,0200-0315pm,Peck M,
34967,AC,0204,04,Intermediate Accounting II,3 W,0630-0900pm,Yost S,
34393,AC,0265,01,Accounting Information Systems,3 W,0800-1030am,Brenner S,
34145,AC,0310,01,Advanced Accounting,3 W,0630-0900pm,Haylon L,
34228,AC,0310,02,Advanced Accounting,3 TF,0930-1045am,Poli P,
34619,AC,0310,03,Advanced Accounting,3 TF,1230-0145pm,Poli P,
34315,AC,0320,01,Cost Management,3 TF,1100-1215pm,Bradford B,
34620,AC,0320,02,Cost Management,3 TF,1230-0145pm,Bradford B,
35681,AC,0320L,01,Cost Management Lab,1 M,0500-0615pm,Bradford B,
34223,AC,0330,01,Auditing,3 MW,0500-0615pm,Fernandez-Varela C,
34570,AC,0330,02,Auditing,3 M,0630-0900pm,Fernandez-Varela C,
34230,AC,0343,01,Federal Income Taxation I,3 T,0630-0900pm,Drusbosky J,
34814,AC,0343,02,Federal Income Taxation I,3 W,1100-0130pm,Ebrahim A,
35682,AC,0343,03,Federal Income Taxation I,3 MR,0200-0315pm,Mettler K,
34571,AC,0344,01,Ind Tax: Socioeconomic Applict,3 MW,0500-0615pm,D'Agostin J,SERL UDIV
34083,AC,0345,01,Federal Income Taxation II,3 MR,0630-0900pm,Mettler K,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34165,BU,0211,01,Legal Environment of Business,3 T,0630-0900pm,McEvoy S,
34166,BU,0211,02,Legal Environment of Business,3 W,0630-0900pm,McEvoy S,
34167,BU,0211,03,Legal Environment of Business,3 W,0800-1030am,Hillgen-Santa J,
34168,BU,0211,04,Legal Environment of Business,3 W,1100-0130pm,Hillgen-Santa J,
34624,BU,0211,05,Legal Environment of Business,3 MW,0630-0745pm,Pena C,
34942,BU,0211,06,Legal Environment of Business,3 MW,0500-0615pm,Pena C,
34943,BU,0211,07,Legal Environment of Business,3 M,0630-0900pm,McEvoy S,
34184,BU,0220,01,Environmental Law and Policy,3 W,0200-0430pm,McEvoy S,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor Notes
34091,EC,0012,01,Introduction to Macroeconomics,3 TF,0800-0915am,Shadmani H
34092,EC,0012,02,Introduction to Macroeconomics,3 MR,1230-0145pm,McCloghry G
34093,EC,0012,03,Introduction to Macroeconomics,3 TF,0930-1045am,Murray T
34094,EC,0012,04,Introduction to Macroeconomics,3 MR,1230-0145pm,Nantz K
34157,EC,0012,05,Introduction to Macroeconomics,3 MR,0330-0445pm,Martin T
34190,EC,0012,06,Introduction to Macroeconomics,3 MR,0200-0315pm,Martin T
34274,EC,0012,07,Introduction to Macroeconomics,3 TF,0330-0445pm,Martin T
34307,EC,0012,08,Introduction to Macroeconomics,3 TF,0200-0315pm,Martin T
34308,EC,0012,09,Introduction to Macroeconomics,3 MR,0930-1045am,Leclair M
34382,EC,0012,10,Introduction to Macroeconomics,3 MR,0930-1045am,Vasquez Mazariegos W
34554,EC,0012,11,Introduction to Macroeconomics,3 MR,1100-1215pm,Lane P
34555,EC,0012,12,Introduction to Macroeconomics,3 W,0630-0900pm,Leclair M
34678,EC,0012,13,Introduction to Macroeconomics,3 MR,1100-1215pm,McCloghry G
34679,EC,0012,14,Introduction to Macroeconomics,3 MR,1230-0145pm,Lane P
34680,EC,0012,15,Introduction to Macroeconomics,3 MR,0200-0315pm,Lane P
34681,EC,0012,16,Introduction to Macroeconomics,3 MR,0800-0915am,Nantz K
34819,EC,0012,17,Introduction to Macroeconomics,3 TF,1100-1215pm,Franceschi D
35324,EC,0012,18,Introduction to Macroeconomics,3 TF,0330-0445pm,Murray T
35325,EC,0012,19,Introduction to Macroeconomics,3 MR,1100-1215pm,Vasquez Mazariegos W
35936,EC,0012,20,Introduction to Macroeconomics,3 MR,0930-1045am,Nantz K
35327,EC,0012,OL1,Introduction to Macroeconomics,3,Online,Vasquez Mazariegos W
35780,EC,0112,01,Econ Aspects Social Probs: Water,3 MR,1230-0145pm,Vasquez Mazariegos W
35328,EC,0120,01,Environmental Economics,3 TF,1230-0145pm,Franceschi D WDIV
34840,EC,0150,01,Media Economics,3 TF,1230-0145pm,Hiller R
35329,EC,0152,01,Economics of Sport,3 TF,1100-1215pm,Murray T
35781,EC,0185,01,Regional Economic Development,3 MR,1230-0145pm,Leclair M IGRC SERL
34024,EC,0205,01,Interm Macroeconomic Theory,3 TF,0930-1045am,Shadmani H
34138,EC,0205,02,Interm Macroeconomic Theory,3 TF,1100-1215pm,Shadmani H
34383,EC,0205L,01,Interm Macro Econ Theory Lab,1 T,0200-0250pm,Shadmani H
34969,EC,0231,01,International Trade,3 MR,0200-0315pm,Leclair M
35785,EC,0276,01,Public Finance,3 TF,0200-0315pm,Murray T
34816,EC,0320,01,Fin Markets & Institutions,3 MR,0330-0445pm,Lane P
34025,EC,0380,01,Econometrics,3 TF,0930-1045am,Hiller R
35332,EC,0397,01,Microeconomics Seminar,3 TF,0200-0315pm,Hiller R
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34194,FI,0101,01,Introduction to Finance,3 TF,0200-0315pm,Hlawitschka W,
34195,FI,0101,02,Cancelled,,,,
34196,FI,0101,03,Introduction to Finance,3 MR,0200-0315pm,Martinez V,
34197,FI,0101,04,Introduction to Finance,3 MR,0800-0915am,Alan N,
34198,FI,0101,05,Introduction to Finance,3 MR,0930-1045am,Alan N,
34807,FI,0101,06,Introduction to Finance,3 TF,1230-0145pm,Kozlowski S,
35675,FI,0101,07,Cancelled,,,,
35676,FI,0101,08,Introduction to Finance,3 W,0630-0900pm,Parisi R,
35677,FI,0101,09,Introduction to Finance,3 MR,0930-1045am,Van Ness J,
34623,FI,0200,01,Global Capital Markets,3 TF,0200-0315pm,Looby R,
34868,FI,0200,02,Global Capital Markets,3 TF,0330-0445pm,Looby R,
34084,FI,0210,01,Principles of Investment,3 TF,1100-1215pm,Zhang Y,
34110,FI,0210,02,Principles of Investment,3 TF,1230-0145pm,Zhang Y,
34809,FI,0210,03,Principles of Investment,3 TF,0800-0915am,Kozlowski S,
35678,FI,0210,04,Principles of Investment,3 TF,0930-1045am,Kozlowski S,
34034,FI,0215,01,Financial Management,3 MR,1230-0145pm,Bardos K,
34120,FI,0215,02,Financial Management,3 MR,0200-0315pm,Bardos K,
34728,FI,0215,03,Financial Management,3 TF,0930-1045am,Looby R,
35164,FI,0215,04,Financial Management,3 TF,1100-1215pm,Looby R,
34225,FI,0240,01,International Finance,3 MR,0930-1045am,Martinez V,
34231,FI,0240,02,International Finance,3 MR,1100-1215pm,Martinez V,
34169,FI,0310,01,Portfolio Analysis,3,T,0500-0730pm,Koutmos G
34175,FI,0310,02,Portfolio Analysis,3,W,1100-0130pm,Koutmos G
35165,FI,0325,01,Seminar in Real Estate,3,MR,1100-1215pm,Bardos K
34038,FI,0330,01,Case Studies in Finance,3,TF,0800-0915am,McDermott J
34070,FI,0330,02,Case Studies in Finance,3,TF,0930-1045am,McDermott J
34146,FI,0330,03,Case Studies in Finance,3,MR,1230-0145pm,Puleo M
34810,FI,0330,04,Case Studies in Finance,3,MR,0330-0445pm,Puleo M
35167,FI,0330,05,Case Studies in Finance,3,R,0630-0900pm,Puleo M
35679,FI,0330,06,Case Studies in Finance,3,MR,0330-0445pm,McDonald M
34811,FI,0330,OL1,Case Studies in Finance,3,M,0630-0900pm,Conine T
35092,FI,0397,01,Seminar: Alt Investments,3,R,0500-0730pm,Gangwani S
35517,FI,0398,02,Seminar in Finance: Rotman Sim,3,T,0500-0730pm,Hlawitschka W
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34147,IS,0100,01,Intro to Information Systems,3 MR,1100-1215pm,Vinekar V,
34148,IS,0100,02,Intro to Information Systems,3 MR,1230-0145pm,Vinekar V,
34149,IS,0100,03,Intro to Information Systems,3 MR,0200-0315pm,Ozcelik Y,
34150,IS,0100,04,Intro to Information Systems,3 MR,0330-0445pm,Ozcelik Y,
34151,IS,0100,05,Intro to Information Systems,3 TF,0930-1045am,Wang K,
34641,IS,0100,06,Intro to Information Systems,3 TF,1100-1215pm,Tao J,
35912,IS,0100,07,Intro to Information Systems,3 TF,1230-0145pm,Wang K,
35913,IS,0100,08,Intro to Information Systems,3 TF,0200-0315pm,Tao J,
34642,IS,0135,01,Fundamentals of Web Design,3 MR,0200-0315pm,Vinekar V,
34643,IS,0210,01,Fundamentals of Busn Analytics,3 MR,0930-1045am,Lee P,
35914,IS,0210,02,Fundamentals of Busn Analytics,3 MR,0330-0445pm,STAFF,
34644,IS,0240,01,Sys Analysis & Logical Design,3 TF,1100-1215pm,Huntley C,
34645,IS,0260,01,Database Systems,3 TF,0200-0315pm,Huntley C,
35915,IS,0315,01,Data Mining and Applications,3 W,1100-0130pm,Ozcelik Y,
35141,IS,0320,01,Sys Design & Implementation,3 W,0200-0430pm,Huntley C,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34199,MG,0101,01,Intro to Management,3 TF,1230-0145pm,Cavanaugh J,
34200,MG,0101,02,Intro to Management,3 TF,0200-0315pm,Cavanaugh J,
34201,MG,0101,03,Intro to Management,3 MR,1100-1215pm,Cerrone R,
34226,MG,0101,04,Intro to Management,3 MR,0330-0445pm,Daulerio P,
34227,MG,0101,05,Intro to Management,3 TF,0330-0445pm,Daulerio P,
34625,MG,0101,06,Intro to Management,3 MR,0930-1045am,Cerrone R,
34626,MG,0101,07,Intro to Management,3 TF,0200-0315pm,Daulerio P,
34944,MG,0101,08,Intro to Management,3 MR,0200-0315pm,Daulerio P,
34128,MG,0235,01,Managing Human Resources,3 TF,1230-0145pm,Solomon N,
34394,MG,0235,02,Managing Human Resources,3 TF,1100-1215pm,Solomon N,
34627,MG,0240,01,Leading and Managing People,3 TF,0930-1045am,Mainiero L,
34628,MG,0240,02,Leading and Managing People,3 TF,1100-1215pm,Mainiero L,
34202,MG,0300,01,Bus Strategy Global Envir,3 MR,1100-1215pm,Giapponi C,
34203,MG,0300,02,Bus Strategy Global Envir,3 TF,0200-0315pm,Moretz J,
34204,MG,0300,03,Bus Strategy Global Envir,3 MR,1230-0145pm,Giapponi C,
34205,MG,0300,04,Bus Strategy Global Envir,3 MR,1230-0145pm,Bhattacharya M,
34242,MG,0300,05,Bus Strategy Global Envir,3 TF,0330-0445pm,Moretz J,
34629,MG,0300,06,Bus Strategy Global Envir,3 R,0630-0900pm,Bhattacharya M,
35295,MG,0300,07,Bus Strategy Global Envir,3 W,0200-0430pm,Roseman J,
35715,MG,0303E,01,Topics: Entrepreneurship Cnslt,3 TF,1100-1215pm,Hamer C,
35716,MG,0303F,01,Topics: Build High Perf Teams,3 T,0500-0730pm,Cavanaugh J,CLRC
35298,MG,0320,01,Diversity in the Workplace,3 MR,0200-0315pm,Stafford L,UDIV
34945,MG,0330,01,Career Planning,3 W,1100-0130pm,Mainiero L,
35717,MG,0336,01,Social Entrepreneurship,3 TF,0930-1045am,Moretz J,
35299,MG,0337,01,Entrepreneurship: Prod Dev/Com,3 MR,0200-0315pm,Scheraga C,
34946,MG,0370,01,Managing Non-Profit Orgs,3 MR,0330-0445pm,Giapponi C,
35300,MG,0375,01,Sports Management,3 T,0500-0730pm,Doris E,
35718,MG,0385,01,Managing People for Glbl Busn,3 MR,0930-1045am,Bhattacharya M,WDIV
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34206,MK,0101,01,Principles of Marketing,3 MR,0800-0915am,Naderi I,
34207,MK,0101,02,Principles of Marketing,3 MR,0930-1045am,Naderi I,
34208,MK,0101,03,Principles of Marketing,3 MW,0500-0615pm,Neal J,
34209,MK,0101,04,Principles of Marketing,3 TF,0930-1045am,Sharma N,
34621,MK,0101,05,Principles of Marketing,3 TF,1230-0145pm,Sharma N,
34622,MK,0101,06,Principles of Marketing,3 TF,0200-0315pm,Neal J,
35161,MK,0101,07,Principles of Marketing,3 W,1100-0130pm,Cavallo G,
34129,MK,0212,01,Consumer Behavior,3 MR,1100-1215pm,Chaudhuri A,
34130,MK,0212,02,Consumer Behavior,3 MR,0200-0315pm,Chaudhuri A,
34751,MK,0212,03,Consumer Behavior,3 MR,0330-0445pm,Chaudhuri A,
34185,MK,0231,01,Advertising,3 TF,1100-1215pm,Moritz J,
34232,MK,0231,02,Advertising,3 W,0200-0430pm,Moritz J,
34395,MK,0241,01,Digital Marketing,3 MR,1230-0145pm,Tarrant P,
34860,MK,0241,02,Digital Marketing,3 MR,0200-0315pm,Tarrant P,
34131,MK,0311,01,Marketing Research,3 TF,1100-1215pm,Micu C,
34132,MK,0311,02,Marketing Research,3 TF,1230-0145pm,Micu C,
35455,MK,0311,03,Marketing Research,3 M,0630-0900pm,Blum A,
35672,MK,0311,04,Marketing Research,3 W,0200-0430pm,Sharma N,
34133,MK,0312,01,Global Marketing,3 MR,1100-1215pm,Rajamma R,WDIV
34134,MK,0312,02,Global Marketing,3 MR,0200-0315pm,Rajamma R,WDIV
35673,MK,0312,03,Global Marketing,3 MR,0330-0445pm,Rajamma R,WDIV
34598,MK,0331,01,Media Strategy,3 MR,0800-0915am,Neal J,
35091,MK,0331,02,Media Strategy,3 TF,0930-1045am,Neal J,
34329,MK,0332,01,Public Relations,3 T,0630-0900pm,Christian W,
35486,MK,0332,02,Public Relations,3 M,0630-0900pm,Christian W,
34318,MK,0341,01,Brand Management,3 MR,0930-1045am,Cavallo G,
34396,MK,0341,02,Brand Management,3 MR,1230-0145pm,Cavallo G,
35674,MK,0342,01,Contemporary Issues in Mktg,3 T,0630-0900pm,Herr P,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34210,OM,0101,01,Operations Management,3 MR,0930-1045am,He X,
34211,OM,0101,02,Operations Management,3 MR,1100-1215pm,He X,
34212,OM,0101,03,Operations Management,3 MR,1230-0145pm,Lee P,
34213,OM,0101,04,Operations Management,3 MR,0330-0445pm,He X,
34235,OM,0101,05,Operations Management,3 TF,0930-1045am,Lewis N,
34284,OM,0101,06,Operations Management,3 TF,1230-0145pm,Lewis N,
34646,OM,0101,07,Operations Management,3 TF,0330-0445pm,Krchnavy J,
34750,OM,0101,08,Operations Management,3 W,1100-0130pm,Remediani C,
35459,OM,0101,09,Operations Management,3 R,0500-0730pm,STAFF,
34936,OM,0140,01,Project Management,3 T,0630-0900pm,McCabe T,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35233,BEN,0300,01,Biomedical Instrumentation,4 TF,1230-0245pm,Freudzon S,
35853,BEN,0332,01,Biomedical Imaging,3 TF,0930-1045am,Freudzon S,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34799,CR,0245,01,Digital Design I,3 MR,1100-1215pm,Lyon D,
34995,CR,0245,02,Digital Design I,3 MR,1230-0145pm,Lyon D,
34791,CR,0245L,01,Digital Design I Lab,1 T,0200-0400pm,Cavallo J,
34800,CR,0245L,02,Digital Design I Lab,1 W,0200-0400pm,Cavallo J,
